slug,name,category
restaurant-style-dining,Restaurant-Style Dining,Dining
bistro-cafe,Bistro Café,Dining
theater-room,Theater Room,Social
library,Library / Reading Lounge,Social
fitness-center,Workout & Fitness Facilities,Wellness
salon,Beauty Salon / Barber,Wellness
chapel,Chapel,Lifestyle
courtyards,Courtyards & Patios,Outdoors
raised-garden-beds,Raised Garden Beds / Greenhouse,Outdoors
putting-green,Putting Green,Outdoors
heated-courtyard-train,Heated Courtyard with Train Set,Outdoors
therapy-center,Fitness & Therapy Center,Wellness
library-computer-lab,Library / Computer Lab,Social
secure-memory-care,Secure Memory Care Neighborhood,Safety
emergency-response,24/7 Emergency Response,Safety
private-dining,Private Dining Room,Lifestyle
